Time_min,D16_micron,D50_micron,D84_micron
1242.5,60.5381,88.439,126.322
1247.5,62.041,88.6749,124.035
1252.5,62.4589,88.4722,122.727
1257.5,62.5155,90.2188,129.919
1562.5,63.0502,90.7831,130.359
1567.5,63.2739,90.6569,126.305
1572.5,62.6322,92.7364,131.09
1577.5,62.076,89.2971,125.841
1582.5,61.6441,89.4007,124.93
1587.5,61.1974,89.6118,125.608
1592.5,61.3075,86.3386,118.227
1597.5,61.3605,88.9596,124.952
1602.5,65.0617,91.6039,126.993
1607.5,62.0905,90.569,126.034
1612.5,61.93,91.1165,124.945
1617.5,61.5449,88.2736,125.763
1742.5,60.9026,87.6948,121.4
1747.5,62.1844,89.3331,121.997
1752.5,59.8001,86.0241,118.512
1757.5,61.0983,86.3833,121.101
1762.5,60.438,87.9538,120.167
1767.5,61.1987,86.3891,120.718
1772.5,60.495,86.2849,121.084
1777.5,60.3814,86.4555,122.535
1782.5,59.3257,84.6907,120.081
1787.5,60.7769,87.2552,119.728
1792.5,58.2452,84.6034,119.922
1797.5,60.7129,88.7038,123.003
